Category,Subcategory 1,Subcategory 2,Subcategory 3,Value,Year
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6380.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2028.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,530.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,11576.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3420.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,30051.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4320.0,2012
Total National Health Expenditures,Investment,Research,none,48380.0,2012
Total National Health Expenditures,Investment,Structures & Equipment,none,114781.0,2012
Total National Health Expenditures,Out of pocket,none,none,330757.0,2013
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,879293.0,2013
Total National Health Expenditures,Health Insurance,Medicare,none,588855.0,2013
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,444976.0,2013
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,13497.0,2013
Total National Health Expenditures,Health Insurance,Department of Defense,none,39586.0,2013
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,52840.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,5329.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,146255.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3583.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,46426.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6665.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1924.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,527.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,12961.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3284.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,30188.0,2013
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4428.0,2013
Total National Health Expenditures,Investment,Research,none,46690.0,2013
Total National Health Expenditures,Investment,Structures & Equipment,none,116390.0,2013
Total National Health Expenditures,Out of pocket,none,none,340388.0,2014
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,922540.0,2014
Total National Health Expenditures,Health Insurance,Medicare,none,617327.0,2014
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,498159.0,2014
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,13212.0,2014
Total National Health Expenditures,Health Insurance,Department of Defense,none,41449.0,2014
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,57931.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,5652.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,149202.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3725.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,48878.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6857.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1989.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,534.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,12185.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3495.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,29677.0,2014
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4629.0,2014
Total National Health Expenditures,Investment,Research,none,46033.0,2014
Total National Health Expenditures,Investment,Structures & Equipment,none,113841.0,2014
Total National Health Expenditures,Out of pocket,none,none,352691.0,2015
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,976256.0,2015
Total National Health Expenditures,Health Insurance,Medicare,none,647717.0,2015
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,542995.0,2015
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,14748.0,2015
Total National Health Expenditures,Health Insurance,Department of Defense,none,41622.0,2015
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,64688.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,6124.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,154021.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3743.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,49397.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6743.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1927.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,555.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,12551.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3480.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,31013.0,2015
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4879.0,2015
Total National Health Expenditures,Investment,Research,none,46388.0,2015
Total National Health Expenditures,Investment,Structures & Equipment,none,118465.0,2015
Total National Health Expenditures,Out of pocket,none,none,364931.0,2016
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1028317.0,2016
Total National Health Expenditures,Health Insurance,Medicare,none,675874.0,2016
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,564869.0,2016
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,16778.0,2016
Total National Health Expenditures,Health Insurance,Department of Defense,none,41190.0,2016
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,67449.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,6602.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,167144.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3877.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,49805.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6173.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1803.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,569.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,12351.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3752.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,32407.0,2016
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,5137.0,2016
Total National Health Expenditures,Investment,Research,none,47616.0,2016
Total National Health Expenditures,Investment,Structures & Equipment,none,121385.0,2016
Total National Health Expenditures,Out of pocket,none,none,370325.0,2017
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1077833.0,2017
Total National Health Expenditures,Health Insurance,Medicare,none,705000.0,2017
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,578501.0,2017
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,18079.0,2017
Total National Health Expenditures,Health Insurance,Department of Defense,none,41877.0,2017
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,72134.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,6850.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,180541.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3933.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,49553.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5871.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1868.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,577.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,12212.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,4497.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,32674.0,2017
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,5416.0,2017
Total National Health Expenditures,Investment,Research,none,50902.0,2017
Total National Health Expenditures,Investment,Structures & Equipment,none,132377.0,2017
Total National Health Expenditures,Out of pocket,none,none,386157.0,2018
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1124311.0,2018
Total National Health Expenditures,Health Insurance,Medicare,none,751630.0,2018
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,596516.0,2018
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,18641.0,2018
Total National Health Expenditures,Health Insurance,Department of Defense,none,41729.0,2018
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,76172.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,7102.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,189682.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,4143.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,50062.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6127.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1901.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,591.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,12844.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,5613.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,32770.0,2018
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,5777.0,2018
Total National Health Expenditures,Investment,Research,none,53732.0,2018
Total National Health Expenditures,Investment,Structures & Equipment,none,138983.0,2018
Total National Health Expenditures,Out of pocket,none,none,403016.0,2019
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1152871.0,2019
Total National Health Expenditures,Health Insurance,Medicare,none,804526.0,2019
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,615109.0,2019
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,19944.0,2019
Total National Health Expenditures,Health Insurance,Department of Defense,none,42811.0,2019
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,82281.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,7460.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,205069.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,4175.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,49187.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6314.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1866.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,598.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,14032.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,5638.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,34441.0,2019
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,6184.0,2019
Total National Health Expenditures,Investment,Research,none,56529.0,2019
Total National Health Expenditures,Investment,Structures & Equipment,none,141766.0,2019
Total National Health Expenditures,Out of pocket,none,none,398144.0,2020
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1147923.0,2020
Total National Health Expenditures,Health Insurance,Medicare,none,834648.0,2020
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,672286.0,2020
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,21235.0,2020
Total National Health Expenditures,Health Insurance,Department of Defense,none,43658.0,2020
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,92169.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,7384.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,209685.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,4549.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,42951.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6543.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1873.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,605.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,180562.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,6652.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,35732.0,2020
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,6546.0,2020
Total National Health Expenditures,Investment,Research,none,60212.0,2020
Total National Health Expenditures,Investment,Structures & Equipment,none,139726.0,2020
Total National Health Expenditures,Out of pocket,none,none,440900.0,2021
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1230303.0,2021
Total National Health Expenditures,Health Insurance,Medicare,none,895583.0,2021
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,736226.0,2021
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,22485.0,2021
Total National Health Expenditures,Health Insurance,Department of Defense,none,43939.0,2021
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,99853.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,8022.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,222373.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,5900.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,45102.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6698.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1916.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,611.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,85363.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,8518.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,37067.0,2021
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,6928.0,2021
Total National Health Expenditures,Investment,Research,none,62586.0,2021
Total National Health Expenditures,Investment,Structures & Equipment,none,155948.0,2021
Total National Health Expenditures,Out of pocket,none,none,471505.0,2022
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1313790.0,2022
Total National Health Expenditures,Health Insurance,Medicare,none,952467.0,2022
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,807523.0,2022
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,23774.0,2022
Total National Health Expenditures,Health Insurance,Department of Defense,none,46068.0,2022
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,101950.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,8523.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,215957.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,6892.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,47727.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6899.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1989.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,624.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,33566.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,6520.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,38671.0,2022
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,7321.0,2022
Total National Health Expenditures,Investment,Research,none,67995.0,2022
Total National Health Expenditures,Investment,Structures & Equipment,none,159235.0,2022
Total National Health Expenditures,Out of pocket,none,none,505684.0,2023
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,1464648.0,2023
Total National Health Expenditures,Health Insurance,Medicare,none,1029788.0,2023
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,871678.0,2023
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,24693.0,2023
Total National Health Expenditures,Health Insurance,Department of Defense,none,48201.0,2023
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,119614.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,8829.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,254581.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,6738.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,50111.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,7627.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2073.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,668.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,15905.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,7241.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,41772.0,2023
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,7715.0,2023
Total National Health Expenditures,Investment,Research,none,72141.0,2023
Total National Health Expenditures,Investment,Structures & Equipment,none,166617.0,2023
